smiles,pIC50,activity_label
NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)O,11.769551078621726,Active
CC(O)[C@@H](C(=O)N[C@H](C)c1ccccc1)N(C)C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N,11.096910013008056,Active
COc1cc(C(=O)N2CC(C)(CCO)OC[C@H]2C)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,11.0,Active
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,10.522878745280336,Active
Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCC(F)(F)c2ccccn2)c1=O,10.3767507096021,Active
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,10.0,Active
CCCCOC(=O)C(=O)C(NC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)Cc3ccccc3)CC(=O)N21)[C@H]1CC[C@H](N)CC1,10.0,Active
COc1cc(C(=O)N2CC(C)(CC(C)O)OC[C@H]2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,10.0,Active
O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccccc1O,9.987162775294829,Active
CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(N[C@H](CF)c4cccc(Cl)c4)nc3c2)C1,9.795880017344077,Active
CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(NC(CF)c4cccc(Cl)c4)nc3c2)C1,9.721246399047171,Active
COc1cc(C(=O)N2CC(C)(CCO)OC[C@H]2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.69897000433602,Active
COc1cc(C(=O)N2C[C@H](C)OC[C@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.522878745280336,Active
COc1cc(C(=O)N2C[C@H](C)OC[C@@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.431798275933003,Active
COc1cc(C(=O)N2CC3(CC3)NC(=O)C2C)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,9.42021640338319,Active
